NETWORK PATCHING,,,,,,,,
Device Name,Device Type,Mod/Port,Device Name,Device Type,Mod/Port,Cable Type,IP,
BAS-FIC-0H1E-11S-C01,,ET5,RATE-BAS-P002,,P6P1,10G-CR TWINAX,UCAST-A,BOND1
BAS-FIC-0H1E-11S-C01,,ET6,RATE-BAS-P002,,P5P1,10G-CR TWINAX,BEM-A,BOND0
BAS-FIC-0H1E-12S-C02,,ET4,RATE-BAS-P002,,P4P2,10G-CR TWINAX,MD-B,
BAS-FIC-0H1E-12S-C02,,ET5,RATE-BAS-P002,,P5P2,10G-CR TWINAX,UCAST-B,BOND1
BAS-FIC-0H1E-12S-C02,,ET6,RATE-BAS-P002,,P6P2,10G-CR TWINAX,BEM-B,BOND0
BAS-JPM-0H1E-11S-ML1,,ET3,RATE-BAS-P002,,EM1,1000-T Copper CAT6,MGT-A,BOND3
BAS-JPM-0H1E-12S-ML2,,ET2,RATE-BAS-P002,,P3P2,1000-T Copper CAT6,MGT-B,BOND3
BAS-JPM-0H1E-12S-ML2,,ET3,RATE-BAS-P002,,IMM,1000-T Copper CAT6,,
BAS-FIC-0H1E-11S-C01,,ET7,RATE-BAS-P003,,P1P1,10G-CR TWINAX,MD-A,
BAS-FIC-0H1E-11S-C01,,ET8,RATE-BAS-P003,,P6P1,10G-CR TWINAX,UCAST-A,BOND1
BAS-FIC-0H1E-11S-C01,,ET9,RATE-BAS-P003,,P5P1,10G-CR TWINAX,BEM-A,BOND0
BAS-FIC-0H1E-12S-C02,,ET7,RATE-BAS-P003,,P4P2,10G-CR TWINAX,MD-B,
BAS-FIC-0H1E-12S-C02,,ET8,RATE-BAS-P003,,P5P2,10G-CR TWINAX,UCAST-B,BOND1
BAS-FIC-0H1E-12S-C02,,ET9,RATE-BAS-P003,,P6P2,10G-CR TWINAX,BEM-B,BOND0
BAS-JPM-0H1E-11S-ML1,,ET4,RATE-BAS-P003,,EM1,1000-T Copper CAT6,MGT-A,BOND3
BAS-JPM-0H1E-12S-ML2,,ET4,RATE-BAS-P003,,P3P2,1000-T Copper CAT6,MGT-B,BOND3
BAS-JPM-0H1E-11S-ML1,,ET5,RATE-BAS-P003,,IMM,1000-T Copper CAT6,,
BAS-FIC-0H1E-11S-C01,,ET10,RATE-BAS-P004,,P1P1,10G-CR TWINAX,MD-A,
BAS-FIC-0H1E-11S-C01,,ET11,RATE-BAS-P004,,P6P1,10G-CR TWINAX,UCAST-A,BOND1
BAS-FIC-0H1E-11S-C01,,ET12,RATE-BAS-P004,,P5P1,10G-CR TWINAX,BEM-A,BOND0
BAS-FIC-0H1E-12S-C02,,ET10,RATE-BAS-P004,,P4P2,10G-CR TWINAX,MD-B,
BAS-FIC-0H1E-12S-C02,,ET11,RATE-BAS-P004,,P5P2,10G-CR TWINAX,UCAST-B,BOND1
BAS-FIC-0H1E-12S-C02,,ET12,RATE-BAS-P004,,P6P2,10G-CR TWINAX,BEM-B,BOND0
BAS-JPM-0H1E-11S-ML1,,ET6,RATE-BAS-P004,,EM1,1000-T Copper CAT6,MGT-A,BOND3
BAS-JPM-0H1E-12S-ML2,,ET5,RATE-BAS-P004,,P3P2,1000-T Copper CAT6,MGT-B,BOND3
BAS-JPM-0H1E-12S-ML2,,ET6,RATE-BAS-P004,,IMM,1000-T Copper CAT6,,
BAS-FIC-0H1E-11S-C01,,ET13,RATE-BAS-P005,,P1P1,10G-CR TWINAX,MD-A,
BAS-FIC-0H1E-11S-C01,,ET14,RATE-BAS-P005,,P6P1,10G-CR TWINAX,UCAST-A,BOND1
BAS-FIC-0H1E-11S-C01,,ET15,RATE-BAS-P005,,P5P1,10G-CR TWINAX,BEM-A,BOND0
BAS-FIC-0H1E-12S-C02,,ET13,RATE-BAS-P005,,P4P2,10G-CR TWINAX,MD-B,
BAS-FIC-0H1E-12S-C02,,ET14,RATE-BAS-P005,,P5P2,10G-CR TWINAX,UCAST-B,BOND1
BAS-FIC-0H1E-12S-C02,,ET15,RATE-BAS-P005,,P6P2,10G-CR TWINAX,BEM-B,BOND0
BAS-JPM-0H1E-11S-ML1,,ET7,RATE-BAS-P005,,EM1,1000-T Copper CAT6,MGT-A,BOND3
BAS-JPM-0H1E-12S-ML2,,ET7,RATE-BAS-P005,,P3P2,1000-T Copper CAT6,MGT-B,BOND3
BAS-JPM-0H1E-11S-ML1,,ET8,RATE-BAS-P005,,IMM,1000-T Copper CAT6,,
BAS-FIC-0H1E-11S-C01,,ET16,RATE-BAS-P006,,P1P1,10G-CR TWINAX,MD-A,
